序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,取消原因,成交时间,成交价格,入场价,紧止损价,确认阈值,止盈价,加仓阈值,确认,出场时间,出场价,出场类型,持仓K数,R值,前3K
330,2021/05/13 00:00,做空,54468.36,55300.0,55800.0,1417.5813379342214,54382.41866206578,是,,2021/05/13 04:00,54382.41866206578,54382.41866206578,54807.693063446044,53673.62799309867,49104.0,53673.62799309867,是,2021/05/13 04:00,49104.0,止盈,0,3.723538481225906,是
331,2021/05/14 20:00,做多,51241.26,51000.0,50878.95,1811.618751068285,52690.568751068284,否,KAMA,,,,,,,,,2021/05/15 00:00,,挂单取消,0,,
332,2021/05/15 12:00,做空,48510.0,48870.41,48870.41,1724.8961976123119,47145.51380238769,是,,2021/05/16 00:00,47145.51380238769,47145.51380238769,47662.98266167138,46283.06570358154,43005.9608,46283.06570358154,是,2021/05/16 00:00,49019.97,止损,0,-1.0867066668748093,是
333,2021/05/17 00:00,做空,45573.29,46481.14,46481.14,1683.6949721960023,44797.445027803995,是,,2021/05/17 04:00,44797.445027803995,44797.445027803995,45302.553519462796,43955.597541705996,40903.4032,43955.597541705996,是,2021/05/17 04:00,45572.68,止损,0,-1.0000000000000013,是
334,2021/05/17 08:00,做空,42990.79,43866.0,46481.14,1831.4687124068919,44649.671287593104,是,,2021/05/17 12:00,42991.01,42991.01,43540.45061372207,42075.27564379656,40903.4032,43733.93693138966,否,2021/05/17 12:00,45182.45,弱突破平仓,0,-1.1965478772061762,是
335,2021/05/19 08:00,做空,40635.3,42268.0,43189.26,1925.905629382861,41263.35437061714,是,,2021/05/19 12:00,40638.04,40638.04,41215.81168881486,39675.08718530857,38006.548800000004,40300.40155592571,否,2021/05/19 12:00,40372.57,弱突破平仓,0,0.1378416449642284,是
336,2021/05/20 20:00,做多,41448.84,40800.0,40497.81,2717.877896575572,43215.68789657557,否,KAMA,,,,,,,,,2021/05/21 00:00,,挂单取消,0,,
337,2021/05/21 20:00,做空,36818.07,38091.68,38091.68,2587.5540949956967,35504.1259050043,是,,2021/05/22 00:00,35504.1259050043,35504.1259050043,36280.39213350301,34210.348857506455,33520.6784,34210.348857506455,否,2021/05/22 00:00,36043.11,弱突破平仓,0,-0.20829867713223443,是
338,2021/05/23 16:00,做空,35367.81,35501.01,36245.37,2420.6868980903428,33824.68310190966,是,,2021/05/23 20:00,33824.68310190966,33824.68310190966,34550.88917133676,32614.339652864484,31895.925600000002,32614.339652864488,否,2021/05/23 20:00,33306.95,弱突破平仓,0,0.21387859054307884,是
339,2021/05/24 16:00,做多,37558.3,36881.39,35916.86,2385.992091741209,38302.85209174121,是,,2021/05/24 20:00,38302.85209174121,38302.85209174121,37587.05446421885,39495.848137611814,43818.5692,39495.848137611814,否,2021/05/24 20:00,37535.2,弱突破平仓,0,-0.3217328734652295,是
340,2021/05/26 12:00,做多,40436.0,39724.24,39196.75,2176.841770099245,41373.59177009924,否,KAMA,,,,,,,,,2021/05/27 00:00,,挂单取消,0,,
341,2021/05/27 08:00,做空,37634.0,37804.76,37804.76,2029.1573294346776,35775.60267056533,否,KAMA,,,,,,,,,2021/05/27 12:00,,挂单取消,0,,
342,2021/05/28 12:00,做空,36965.27,37201.0,37201.0,1836.2090619034063,35364.790938096594,是,,2021/05/28 16:00,35364.790938096594,35364.790938096594,35915.653656667615,34446.68640714489,32736.88,34446.68640714489,是,2021/05/28 16:00,36965.27,止损,0,-0.9999999999999999,是
343,2021/05/29 20:00,做空,34452.15,34553.6,34689.57,1788.7443758092131,32900.82562419079,否,KAMA,,,,,,,,,2021/05/30 16:00,,挂单取消,0,,
344,2021/05/31 16:00,做多,36833.0,36501.0,36501.0,1613.926916492774,38114.926916492775,否,KAMA,,,,,,,,,2021/06/01 16:00,,挂单取消,0,,
345,2021/06/02 20:00,做多,38032.66,37550.0,37462.79,1345.1736975898361,38807.96369758984,是,,2021/06/03 12:00,38807.96369758984,38807.96369758984,38404.41158831289,39480.55054638476,45704.6038,39480.55054638476,否,2021/06/03 12:00,38631.51,弱突破平仓,0,-0.13117539980598153,是
346,2021/06/04 12:00,做空,36631.46,37350.0,37585.17,1196.858539237154,36388.311460762845,是,,2021/06/04 16:00,36388.311460762845,36388.311460762845,36747.36902253399,35789.882191144265,33074.9496,35789.882191144265,否,2021/06/04 16:00,36610.28,弱突破平仓,0,-0.18545929360927715,是
347,2021/06/08 04:00,做空,33550.96,35201.86,35201.86,1031.0845674204786,34170.775432579525,是,,2021/06/08 08:00,33550.97,33550.97,33860.295370226144,33035.42771628976,30977.6368,33655.23314886928,是,2021/06/08 20:00,30977.6368,止盈,3,4.404271524847779,是
348,2021/06/09 12:00,做多,34143.5,33866.09,33350.0,1190.6703605895038,34540.6703605895,是,,2021/06/09 16:00,34540.6703605895,34540.6703605895,34183.46925241265,35136.00554088425,40687.0,35136.00554088425,否,2021/06/09 16:00,34933.0,弱突破平仓,0,0.3295031541863987,是
349,2021/06/12 08:00,做空,35576.0,35900.0,35900.0,1201.7688538395682,34698.23114616043,是,,2021/06/12 16:00,34698.23114616043,34698.23114616043,35058.76180231231,34097.346719240646,31592.0,34097.346719240646,否,2021/06/12 16:00,35572.49,弱突破平仓,0,-0.7274767115542796,是
350,2021/06/14 00:00,做多,37610.33,36150.0,36125.3,1097.3954085251728,37222.69540852518,是,,2021/06/14 04:00,37610.11,37610.11,37280.89137744245,38158.80770426259,44072.866,37771.39311278776,是,2021/06/15 16:00,39560.23367021585,止损,9,2.3076070127129666,否
351,2021/06/16 16:00,做空,39079.6,39500.0,39527.0,1073.4720737768382,38453.52792622316,是,,2021/06/17 00:00,38453.52792622316,38453.52792622316,38775.569548356216,37916.791889334745,34783.76,37916.791889334745,是,2021/06/17 00:00,38775.569548356216,止损,0,-0.9999999999999986,是
352,2021/06/18 00:00,做空,37682.27,38105.0,38105.0,1019.5370798181834,37085.46292018182,是,,2021/06/18 16:00,37085.46292018182,37085.46292018182,37391.32404412727,36575.694380272726,33532.4,36575.694380272726,否,2021/06/18 16:00,37805.92,弱突破平仓,0,-0.7066511793241126,是
353,2021/06/21 12:00,做空,32985.72,33312.0,33312.0,1058.6026025540414,32253.39739744596,是,,2021/06/21 16:00,32253.39739744596,32253.39739744596,32570.97817821217,31724.096096168938,29314.56,31724.096096168938,是,2021/06/21 16:00,32985.72,止损,0,-1.0,是
354,2021/06/22 04:00,做空,31606.0,31666.0,31666.0,1163.5638597965324,30502.436140203466,是,,2021/06/22 20:00,30502.436140203466,30502.436140203466,30851.505298142427,29920.6542103052,27866.08,29920.6542103052,是,2021/06/22 20:00,31236.72,止损,0,-1.0000000000000009,是
355,2021/06/23 08:00,做多,33939.05,33274.0,33240.0,1308.1922056019987,34548.192205602,是,,2021/06/23 20:00,34548.192205602,34548.192205602,34155.7345439214,35202.288308402996,40552.799999999996,35202.288308402996,否,2021/06/23 20:00,33488.23,弱突破平仓,0,-0.8102495956350888,是
356,2021/06/25 00:00,做多,34839.0,34588.0,33932.99,1270.0982175007086,35203.08821750071,是,,2021/06/25 08:00,35203.08821750071,35203.08821750071,34822.058752250494,35838.13732625106,41398.2478,35838.13732625106,否,2021/06/25 08:00,35033.16,弱突破平仓,0,-0.13379139908965984,是
357,2021/06/25 20:00,做空,32618.31,33248.62,33721.99,1244.1176921235267,32477.87230787647,是,,2021/06/26 00:00,32477.87230787647,32477.87230787647,32851.10761551353,31855.81346181471,29675.351199999997,31855.81346181471,否,2021/06/26 00:00,32192.38,弱突破平仓,0,0.22947371433097782,是
358,2021/06/27 08:00,做多,33119.04,32720.52,32720.52,1307.4040023836317,34027.92400238363,否,KAMA,,,,,,,,,2021/06/27 16:00,,挂单取消,0,,
359,2021/06/29 16:00,做多,35544.42,35450.0,35136.14,1176.386504991409,36312.52650499141,是,,2021/06/29 20:00,36312.52650499141,36312.52650499141,35959.610553493985,36900.71975748711,42866.0908,36900.71975748711,否,2021/06/29 20:00,36244.89,弱突破平仓,0,-0.05749513846378512,是
360,2021/06/30 20:00,做空,34191.68,34401.0,35320.0,1086.430714654283,34233.569285345715,是,,2021/07/01 00:00,34191.69,34191.69,34517.61921439629,33648.47464267286,31081.6,33690.35392801857,否,2021/07/01 00:00,34747.31,弱突破平仓,0,-0.511417794531703,是
361,2021/07/01 12:00,做空,33337.58,34042.74,34042.74,1049.3834466528804,32993.35655334712,是,,2021/07/01 16:00,32993.35655334712,32993.35655334712,33308.171587342986,32468.66483002068,29957.6112,32468.664830020676,否,2021/07/01 16:00,33696.91,弱突破平仓,0,-0.6704445823849637,是
362,2021/07/04 12:00,做多,35565.98,34948.16,34948.16,851.0006250860449,35799.16062508605,是,,2021/07/05 04:00,35799.16062508605,35799.16062508605,35543.86043756024,36224.66093762907,42636.75520000001,36224.66093762907,否,2021/07/05 04:00,35280.16,弱突破平仓,0,-0.6098710268674241,是
363,2021/07/06 12:00,做多,34853.46,34538.0,34538.0,783.636304866886,35321.636304866886,否,KAMA,,,,,,,,,2021/07/06 16:00,,挂单取消,0,,
